symbol,category,description,contract_count,total_oi,expiries,sample
10YRY,Financial,10-Year Treasury Yield,46,0,021326;033126;063026;123126,10YRY_033126_4.00
20YRY,Financial,20-Year Treasury Yield,32,0,033126;063026;123126,20YRY_033126_4.00
2YRY,Financial,2-Year Treasury Yield,38,0,033126;063026;123126,2YRY_033126_3.90
30YRY,Financial,30-Year Treasury Yield,32,0,033126;063026;123126,30YRY_033126_4.00
3YRY,Financial,3-Year Treasury Yield,32,0,033126;063026;123126,3YRY_033126_4.00
5YRY,Financial,5-Year Treasury Yield,32,0,033126;063026;123126,5YRY_033126_4.00
7YRY,Financial,7-Year Treasury Yield,32,0,033126;063026;123126,7YRY_033126_4.00
ACD,Climate,Atmospheric CO2 Concentration,68,260,1226;1227;1230;1235,ACD_1226_432.0
ADDSP,Financial,S&P 500 Annual Add/Drop,32,0,123126,ADDSP_123126_LNG
AEUSA,,,120,2380,0126;0226;0626;1225;1226,AEUSA_0626_12.3
AIRTD,,,84,0,0126;1125;1225;1226,AIRTD_1225_66.5
AIRTI,,,84,0,0126;1125;1225;1226,AIRTI_1225_10.45
AIRTT,,,82,0,0126;1125;1225;1226,AIRTT_1225_77.4
AIRUS,,,110,60,Q126;Q226;Q325;Q326;Q425,AIRUS_Q126_345
AMOCW,,,32,0,1230;1235;1240;1245,AMOCW_1230_14
APMFE,,,66,0,0126;0226;0326,APMFE_0126_-5
APYFE,,,36,0,0526;0527,APYFE_0526_-35
ARMEG,,,42,0,0126;0226;0326,ARMEG_0126_-30
ARYEG,,,36,80,0526;0527,ARYEG_0526_-20
AUDEC,,,30,0,031726;050526;061626,AUDEC_031726_H50
AXXAK,House-District,,10,120,110326,AXXAK_110326_DS
AXXAL,House-District,,12,0,110326,AXXAL_110326_DL
AXXAR,House-District,,10,0,110326,AXXAR_110326_ED
AXXCO,House-District,,8,0,110326,AXXCO_110326_JH
AXXDE,House-District,,4,0,110326,AXXDE_110326_CC
AXXGA,House-District,,6,0,110326,AXXGA_110326_JO
AXXIA,House-District,,8,0,110326,AXXIA_110326_JT
AXXID,House-District,,6,0,110326,AXXID_110326_TA
AXXIL,House-District,,12,0,110326,AXXIL_110326_RKE
AXXKS,House-District,,8,0,110326,AXXKS_110326_AP
AXXKY,House-District,,8,0,110326,AXXKY_110326_CB
AXXLA,House-District,,12,0,110326,AXXLA_110326_TB
AXXMA,House-District,,6,20,110326,AXXMA_110326_EM
AXXME,House-District,,8,0,110326,AXXME_110326_JTM
AXXMI,House-District,,8,0,110326,AXXMI_110326_MMM
AXXMN,House-District,,8,0,110326,AXXMN_110326_PF
